,0,1,2,3,4,frXle,fre_pct,grade
书,515,1,3.213592233009707,206,2.9174757281553383,106090,0.6157712224306346,1
同,490,1,3.238775510204081,216,3.115740740740741,105840,0.6168085800056737,1
跟,440,1,3.113636363636364,240,3.079166666666667,105600,0.6177400847669333,1
黄,452,1,2.834070796460176,232,2.844827586206896,104864,0.6186969942034999,1
星,659,1,3.083459787556905,158,2.829113924050633,104122,0.6200921342891137,1
丽,480,1,3.004166666666665,211,2.995260663507109,101280,0.6211083213013968,1
每,398,1,3.1356783919598,251,3.107569721115537,99898,0.6219509096990816,1
远,413,1,3.169491525423729,239,3.138075313807531,98707,0.6228252539409003,1
雪,530,1,2.773584905660379,180,2.666666666666666,95400,0.6239472937669629,1
间,378,1,3.246031746031747,251,3.187250996015936,94878,0.6247475410391359,1
友,466,1,2.952789699570815,202,2.826732673267328,94132,0.6257340892635608,1
原,379,1,3.200527704485487,248,3.125,93992,0.6265364535920094,1
往,396,1,3.09848484848485,237,3.126582278481012,93852,0.627374807877143,1
十,432,1,2.923611111111111,213,2.971830985915493,92016,0.6282893761881978,1
鱼,507,1,2.5857988165680448,178,2.550561797752809,90246,0.629362723719922,1
被,392,2,3.206632653061223,229,3.157205240174672,89768,0.6301926097799532,1
东,401,1,3.122194513715708,222,3.112612612612612,89022,0.6310415493464647,1
物,448,2,3.037946428571428,197,3.030456852791878,88256,0.631989990557929,1
唱,428,2,3.014018691588782,206,2.9174757281553383,88168,0.6328960906438815,1
游,422,1,2.9052132701421813,206,2.87378640776699,86932,0.6337894883921804,1
忙,370,1,3.164864864864864,234,3.196581196581197,86580,0.6345727992141487,1
定,348,2,3.367816091954023,238,3.310924369747898,82824,0.635309534798054,1
金,415,1,3.021686746987951,197,2.9289340101522843,81755,0.6361881131524239,1
朋,425,1,2.8729411764705883,190,2.773684210526315,80750,0.6370878620695495,1
法,412,1,3.201456310679612,194,3.149484536082473,79928,0.6379600892550926,1
轻,444,1,3.004504504504505,180,3.138888888888889,79920,0.6389000622414545,1
喜,383,1,3.093994778067884,208,3.01923076923077,79664,0.6397108947950054,1
许,362,1,3.002762430939226,220,2.986363636363637,79640,0.640477269166769,1
根,343,1,3.154518950437317,227,3.079295154185023,77861,0.6412034194692964,1
第,393,1,3.295165394402034,198,3.237373737373737,77814,0.6420354225856032,1
如,365,1,3.312328767123287,213,3.272300469483569,77745,0.6428081481261935,1
觉,343,1,3.037900874635567,226,3.030973451327433,77518,0.6435342984287208,1
木,435,1,3.094252873563218,178,2.887640449438204,77430,0.6444552179086025,1
玩,397,1,2.926952141057937,195,2.882051282051282,77415,0.6452956892500117,1
课,317,1,2.999999999999999,244,2.975409836065573,77348,0.6459667960893737,1
早,349,1,3.008595988538682,221,2.945701357466063,77129,0.6467056487295545,1
张,374,1,3.224598930481283,202,3.178217821782177,75548,0.6474974277766251,1
名,355,3,3.284507042253521,209,3.272727272727271,74195,0.6482489827544595,1
公,508,1,3.110236220472439,146,2.8630136986301373,74168,0.6493244473424593,1
啦,398,1,2.6758793969849233,186,2.768817204301075,74028,0.650167035740144,1
师,510,1,3.125490196078431,145,2.999999999999999,73950,0.6512467344406949,1
选,301,1,2.843853820598005,244,2.885245901639345,73444,0.6518839683796475,1
活,340,1,3.235294117647059,215,3.172093023255813,73100,0.652603767513348,1
新,338,2,3.085798816568044,208,3.0625,70304,0.6533193325344975,1
连,350,2,3.279999999999999,200,3.19,70000,0.6540603022309539,1
落,346,1,2.861271676300577,199,2.8693467336683423,68854,0.654792803702308,1
分,346,1,3.121387283236994,197,3.142131979695431,68162,0.6555253051736621,1
处,340,1,3.105882352941176,200,3.195,68000,0.6562451043073627,1
石,436,1,3.032110091743118,153,3.045751633986929,66708,0.6571681408435199,1
爷,708,1,2.966101694915253,93,2.817204301075269,65844,0.6586670166866375,1
奇,322,1,3.099378881987579,197,3.050761421319796,63434,0.6593487088073775,1
请,324,1,3.009259259259259,195,3.041025641025641,63180,0.6600346350406686,1
牛,513,1,3.083820662768032,122,2.803278688524589,62586,0.6611206849100463,1
流,328,1,3.167682926829267,189,3.11111111111111,61992,0.6618150793684398,1
五,318,1,3.062893081761006,193,2.917098445595853,61374,0.6624883032640774,1
站,313,1,3.099041533546323,195,3.035897435897435,61035,0.663150941878337,1
认,317,3,3.110410094637222,192,3.1406249999999982,60864,0.663822048717699,1
秋,331,1,2.7975830815709952,183,2.721311475409837,60573,0.6645227943449192,1
夜,333,1,2.978978978978978,181,3.038674033149169,60273,0.6652277740846907,1
位,324,2,3.3024691358024683,185,3.27027027027027,59940,0.6659137003179818,1
朵,365,1,2.94246575342466,164,2.804878048780487,59860,0.6666864258585722,1
摇,371,1,3.029649595687331,161,3.006211180124223,59731,0.6674718537368161,1
比,345,1,3.156521739130436,173,3.138728323699422,59685,0.6682022381518945,1
晚,298,1,2.999999999999999,199,2.9346733668341702,59302,0.6688331209220203,1
王,465,1,2.9634408602150533,126,2.9603174603174613,58590,0.6698175520901697,1
等,322,1,3.229813664596273,180,3.177777777777779,57960,0.6704992442109096,1
教,312,1,3.173076923076922,184,2.9891304347826093,57408,0.6711597657688937,1
您,392,1,3.122448979591837,146,3.095890410958904,57232,0.6719896518289249,1
松,484,1,3.06404958677686,118,2.90677966101695,57112,0.6730143070663105,1
办,338,1,3.029585798816566,168,2.9880952380952372,56784,0.6737298720874598,1
船,457,1,2.807439824945296,123,2.8130081300813,56211,0.6746973668054044,1
睡,355,1,2.847887323943662,158,2.7911392405063298,56090,0.6754489217832388,1
古,331,1,3.063444108761329,169,3.08284023668639,55939,0.6761496674104591,1
冬,377,1,2.5702917771883262,146,2.630136986301369,55042,0.6769477976263565,1
野,345,2,3.1884057971014492,159,2.987421383647797,54855,0.677678182041435,1
坐,286,1,3.104895104895106,190,3.105263157894736,54340,0.6782836601362537,1
脚,316,1,3.2658227848101262,166,3.162650602409637,52456,0.6789526499193401,1
房,334,1,3.104790419161674,157,3.019108280254777,52438,0.6796597467153872,1
云,303,1,2.613861386138613,173,2.658959537572254,52419,0.680301214766891,1
直,279,1,3.207885304659497,187,3.171122994652405,52173,0.6808918734677806,1
告,285,2,3.1438596491228052,183,3.163934426229508,52155,0.6814952345063237,1
黑,325,1,2.990769230769229,160,2.918750000000001,52000,0.6821832777958904,1
巴,379,1,2.443271767810029,136,2.88235294117647,51544,0.682985642124339,1
衣,325,1,3.156923076923075,157,2.885350318471337,51025,0.6836736854139057,1
沙,448,1,3.064732142857143,113,2.964601769911504,50624,0.6846221266253699,1
吹,330,1,3.03030303030303,153,3.013071895424835,50490,0.6853207551963146,1
亲,347,2,3.095100864553315,145,3.089655172413793,50315,0.6860553737239443,1
次,282,2,3.198581560283688,176,3.1931818181818192,49632,0.6866523835936607,1
送,314,1,3.019108280254777,158,2.9873417721518982,49612,0.6873171392641959,1
已,267,1,3.288389513108614,185,3.216216216216215,49395,0.6878823932897784,1
拿,272,1,2.937499999999999,181,3.03867403314917,49232,0.6884582325967389,1
情,276,1,3.275362318840579,177,3.27683615819209,48852,0.6890425401288017,1
兔,473,1,2.608879492600424,103,2.6504854368932023,48719,0.6900439077471557,1
更,273,1,3.106227106227106,176,3.136363636363636,48048,0.6906218641103918,1
园,295,1,2.711864406779661,162,2.685185185185185,47790,0.6912463957116908,1
睛,273,2,2.868131868131867,174,2.913793103448274,47502,0.6918243520749269,1
细,277,1,3.259927797833935,171,3.146198830409355,47367,0.6924107766632652,1
屋,286,3,3.136363636363636,165,3.018181818181819,47190,0.6930162547580839,1
无,271,1,3.324723247232472,173,3.306358381502888,46883,0.6935899770087689,1
干,279,1,3.200716845878137,167,3.1197604790419162,46593,0.6941806357096585,1
奶,566,1,2.717314487632509,82,2.6463414634146343,46412,0.6953788895616423,1
火,310,1,3.061290322580644,149,2.966442953020135,46190,0.6960351770070752,1
爬,342,1,2.812865497076022,133,2.917293233082706,45486,0.696759210253327,1
香,296,2,3.114864864864864,150,2.953333333333334,44400,0.6973858589109015,1
毛,367,1,3.130790190735693,120,2.891666666666667,44040,0.698162818564043,1
语,255,1,2.96470588235294,171,3.040935672514618,43605,0.6987026679143185,1
力,275,1,3.167272727272727,158,3.20253164556962,43450,0.6992848583901057,1
虫,362,1,3.024861878453037,118,2.7796610169491522,42716,0.7000512327618693,1
照,263,1,3.102661596958175,162,3.074074074074072,42606,0.7006080185623494,1
座,284,2,3.091549295774646,149,2.993288590604026,42316,0.7012092625446169,1
车,386,1,3.075129533678755,109,3.0,42074,0.7020264462669946,1
田,296,1,3.006756756756755,141,2.730496453900708,41736,0.7026530949245693,1
全,239,1,3.184100418410042,173,3.15028901734104,41347,0.7031590713744352,1
少,250,1,3.064,165,3.03030303030303,41250,0.7036883354433328,1
块,304,2,3.085526315789473,135,3.074074074074074,41040,0.704331920551112,1
先,290,3,3.33448275862069,139,3.194244604316547,40310,0.7049458668710331,1
急,246,2,3.203252032520325,163,3.116564417177914,40098,0.7054666627148283,1
蓝,275,1,2.6545454545454543,143,2.643356643356644,39325,0.7060488531906155,1
安,250,2,3.071999999999999,154,2.993506493506493,38500,0.706578117259513,1
万,268,1,3.242537313432836,143,3.1048951048951032,38324,0.7071454883413711,1
难,250,1,3.44,153,3.372549019607844,38250,0.7076747524102686,1
却,230,2,3.356521739130435,165,3.272727272727271,37950,0.7081616753536543,1
象,378,2,3.044973544973545,100,3.189999999999999,37800,0.7089619226258272,1
羊,402,1,3.094527363184079,93,2.8064516129032233,37386,0.7098129792486144,1
